Tour,Description,Price
     Entrada a la Sagrada Familia sin colas   ,   Visitar el símbolo de Barcelona es una experiencia imprescindible en la Ciudad Condal. Conocerás la gran obra de Gaudí y te ahorrarás las interminables colas de la taquilla.   , 18 € 
     Free tour por Barcelona ¡Gratis!   ," Recorre el centro histórico de la Ciudad Condal con este paseo por Barcelona en el que un guía local te descubrirá los secretos del centro monumental. Además,¡es GRATIS! ", ¡Gratis! 
     Tour de Barcelona al completo   ,"   ¿Quieres conocer lo mejor de Barcelona en un solo día? En este tour recorreremos la ciudad, subiremos al teleférico, visitaremos el Pueblo Español, pasearemos por el centro, el Barrio Gótico y mucho más.   ", 51 € 
     Tour de los misterios y leyendas de Barcelona   ,   Descubre con esta ruta nocturna por Barcelona las historias y leyendas que atesora la Ciudad Condal en sus calles más antiguas. ¿Preparado para desvelar los misterios?   , 12 € 
     Sagrada Familia con subida a las torres   ,"   En esta visita no solo nos adentraremos en el lugar más apasionante de Barcelona, sino que subiremos a una de sus torres para descubrir la ciudad a vista de pájaro. ¡Todo sin esperar colas!   ", 42 € 
     Free tour de Gaudí y la Barcelona modernista   , Adéntrate en el corazón modernista de Barcelona con este completo free tour  que nos llevará a descubrir los principales símbolos del modernismo en España. , ¡Gratis! 
     Tarjeta Hola BCN!   ,"   La tarjeta Hola BCN! permite el uso ilimitado del transporte público de Barcelona: metro, autobús, tranvía y trenes suburbanos.   ", por coche 39 € 
     Visita guiada por el Parque Güell   ,   El Parque Güell es una de las obras más representativas de Antonio Gaudí. En este paseo recorreremos los principales puntos de interés del parque y descubriremos los secretos de la arquitectura gaudiana.   , 15 € 
"     Excursión a Girona, Figueres y Museo Dalí   ","   En este tour conoceremos dos de las ciudades más interesantes de Cataluña y nos adentraremos en el Museo Dalí, la obra magna del artista y uno de los museos más visitados de España.   ", 24 € 
     Excursión a Montserrat con tren cremallera   ,"   Con 1.236 metros de altura, Montserrat es un parque natural único en el mundo y uno de los parajes naturales más visitados de España. Aquí se encuentra el Santuario de la Patrona de Cataluña.   ", 78 € 
     Camp Nou Tour   ,"   En este tour conoceréis el estadio del mejor equipo de los últimos tiempos y su museo, donde se guardan las leyendas y logros de todas las épocas del club. ¡Compra la entrada anticipada y evita las colas!   ", 55 € 
     Autobús turístico de Barcelona   ,   Los autobuses turísticos cuentan con tres rutas y múltiples paradas en las que podrás subir y bajar cuantas veces quieras. Disfruta de las mejores vistas a bordo de este autobús de dos pisos descapotable.   , 29 € 
     Tour nocturno por Barcelona y Fuente Mágica de Montjuic   ,   Descubre por qué Barcelona tiene un encanto especial al caer la noche con este completo tour en minibús descapotable. ¡Disfrutarás de la ciudad condal iluminada y del show de la Fuente Mágica!   , 30 € 
     Excursión a Montserrat   ,"   Napoleón, los nazis, la patrulla de “El Ministerio del Tiempo”… Todos ellos han buscado el Santo Grial en el mismo lugar. Descúbrelo con esta excursión a Montserrat desde Barcelona.   ", 44 € 
     Andalucía y Costa Mediterránea en 6 días   ,"   Descubre las ciudades más emblemáticas de Andalucía y la Costa Mediterránea en esta excursión de 6 días por Zaragoza, Córdoba, Sevilla, Granada y Valencia.   ", 54 € 
     Tour privado por Barcelona ¡Tú eliges!   ,"   Reservando nuestra visita guiada privada tendréis un guía para descubrir Barcelona en exclusiva con tu pareja, con tu familia o con tu grupo de amigos. ¡El tour más selecto!   ", 780 € 
     Visita de la Sagrada Familia sin colas   ,   Si hay un lugar que nadie puede perderse al visitar Barcelona es la Sagrada Familia. En esta visita descubriremos la obra maestra de Gaudí saltándonos sus interminables colas.   , por grupo 90 € 
     Entrada a la Casa Batlló sin colas   ,"   Sumérgete en el simbolismo gaudiano visitando la Casa Batlló, joya del modernismo y uno de los iconos de Barcelona. Conocerás la obra más creativa de Antonio Gaudí sin hacer colas.   ", 40 € 
     Barcelona Card   ,"   La tarjeta Barcelona Card proporciona acceso gratuito y sin colas a los museos más importantes de Barcelona, transporte público gratuito y muchos descuentos en infinidad de lugares de la ciudad.   "," 29,5 € "
     Entrada al parque de atracciones del Tibidabo   ,   Disfruta de un día inolvidable en el parque de atracciones más antiguo de España. Admira la ciudad a tus pies mientras vives la emoción de sus atracciones centenarias o las más actuales.   , 42 € 
     Tour en bicicleta por Barcelona   ,"   Descubre la magia de la Ciudad Condal de una forma diferente pedaleando entre sus monumentos más icónicos. Verás obras de Gaudí, el arco de triunfo, la basílica y mucho más desde tu bicicleta.  "," 12,7 € "
     Espectáculo en el Palacio del Flamenco   ,"   Disfruta del mejor espectáculo de flamenco puro y fusión de toda España, en el Palacio del Flamenco de Barcelona. Acompaña la velada con una deliciosa cena de auténtica comida española.   ", 18 € 
     Excursión a PortAventura y Ferrari Land   ,"   Pasa un día diferente disfrutando de las atracciones y los espectáculos de PortAventura, el mayor parque temático de España, y descubre el recién inaugurado Ferrari Land, orgullo de la marca.   ", 35 € 
"     Girona, escenario de Juego de Tronos   ",   Siéntete como un Lannister o un Stark en esta excursión en la que recorreremos Girona en busca de los escenarios de Juegos de Tronos. ¡Llegaremos hasta Braavos y Desembarco del Rey!   , 69 € 
     Oferta: Parque Güell + Sagrada Familia   ,"   Déjate seducir por dos de las principales atracciones turísticas de Barcelona: el Parque Güell y la Sagrada Familia, joyas de la obra de Antonio Gaudí.  ", 55 € 
     Tour por la Barcelona medieval   ,"   La basílica de Santa María del Mar, popularizada por la novela “La catedral del mar”, es uno de los núcleos de la Barcelona medieval. Adéntrate en sus calles con esta ruta.   ", 69 € 
     Teleférico de Montjuïc   ,"   Asciende a la cima de Montjuïc, la montaña con más historia de Barcelona, y disfruta de las mejores vistas de la ciudad y del mar desde uno de los teleféricos más famosos del mundo.   ", 12 € 
     Visita guiada al Palau de la Música Catalana   ,   Visita uno de los edificios más emblemáticos de Barcelona. Admira desde la perspectiva de los artistas la única sala de conciertos del mundo que ha sido declarada Patrimonio de la Humanidad.   ," 12,7 € "
